Domain,Project,User,Enabled
AECID,AECID-admin,AECID-admin,
AECID,AInception,altonl,
AECID,AInception,boenket,
AECID,AInception,erdia,
AECID,AInception,garciagomeza,
AECID,AInception,hotwagnerw,
AECID,AInception,landauerm,
AECID,AInception,wurzenbergerm,
AECID,altonl,altonl,
AECID,boenket,boenket,
AECID,erdia,erdia,
AECID,garciagomeza,garciagomeza,
AECID,hotwagnerw,hotwagnerw,
AECID,Infra,boenket,
AECID,Infra,erdia,
AECID,Infra,hotwagnerw,
AECID,Infra,landauerm,
AECID,Infra,wurzenbergerm,
AECID,landauerm,landauerm,
AECID,Playground,AECID-admin,
AECID,Playground,altonl,
AECID,Playground,boenket,
AECID,Playground,erdia,
AECID,Playground,garciagomeza,
AECID,Playground,hotwagnerw,
AECID,Playground,landauerm,
AECID,Playground,wurzenbergerm,
AECID,stefana,stefana,false
AECID,Testbed,altonl,
AECID,Testbed,boenket,
AECID,Testbed,erdia,
AECID,Testbed,garciagomeza,
AECID,Testbed,hotwagnerw,
AECID,Testbed,landauerm,
AECID,Testbed,wurzenbergerm,
AECID,Testbed-Dev,altonl,
AECID,Testbed-Dev,boenket,
AECID,Testbed-Dev,erdia,
AECID,Testbed-Dev,garciagomeza,
AECID,Testbed-Dev,hotwagnerw,
AECID,Testbed-Dev,landauerm,
AECID,Testbed-Dev,wurzenbergerm,
AECID,wurzenbergerm,wurzenbergerm,
CBT-DEV,allisond,allisond,
CBT-DEV,ashqarg,ashqarg,
CBT-DEV,CBT-DEV-admin,steffand,
CBT-DEV,dev,allisond,
CBT-DEV,dev,ashqarg,
CBT-DEV,dev,CBT-DEV-admin,
CBT-DEV,dev,gregorl,
CBT-DEV,dev,jungo,
CBT-DEV,dev,pfallert,
CBT-DEV,dev,reuterl,
CBT-DEV,dev,stoecklr,
CBT-DEV,dev,zelenajovaa,
CBT-DEV,dev2,allisond,
CBT-DEV,dev2,ashqarg,
CBT-DEV,dev2,CBT-DEV-admin,
CBT-DEV,dev2,gregorl,
CBT-DEV,dev2,jungo,
CBT-DEV,dev2,pfallert,
CBT-DEV,dev2,reuterl,
CBT-DEV,dev2,schusterf,
CBT-DEV,dev2,steffand,
CBT-DEV,dev2,stoecklr,
CBT-DEV,dev2,zelenajovaa,
CBT-DEV,dev3,allisond,
CBT-DEV,dev3,ashqarg,
CBT-DEV,dev3,CBT-DEV-admin,
CBT-DEV,dev3,gregorl,
CBT-DEV,dev3,jungo,
CBT-DEV,dev3,pfallert,
CBT-DEV,dev3,reuterl,
CBT-DEV,dev3,stoecklr,
CBT-DEV,dev3,zelenajovaa,
CBT-DEV,gregorl,gregorl,
CBT-DEV,jungo,jungo,
CBT-DEV,pfallert,pfallert,
CBT-DEV,reuterl,reuterl,
CBT-DEV,schusterf,schusterf,
CBT-DEV,steffand,steffand,
CBT-DEV,stoecklr,pfallert,
CBT-DEV,stoecklr,reuterl,
CBT-DEV,stoecklr,stoecklr,
CBT-DEV,zelenajovaa,zelenajovaa,
Default,admin,admin,
Default,service,admin,
Default,tfproj1,tfuser1,
Default,tfproj2,tfuser1,
NUCLEAR,allisond,allisond,
NUCLEAR,cobalt,allisond,
NUCLEAR,cobalt,ashqarg,
NUCLEAR,cobalt,dudenhoefferd,
NUCLEAR,cobalt,eiferte,
NUCLEAR,cobalt,pfallert,
NUCLEAR,cobalt,reuterl,
NUCLEAR,cobalt,zelenajovaa,
NUCLEAR,dudenhoefferd,dudenhoefferd,
NUCLEAR,eiferte,eiferte,
NUCLEAR,NUCLEAR-admin,NUCLEAR-admin,
NUCLEAR,tritium,allisond,
NUCLEAR,tritium,ashqarg,
NUCLEAR,tritium,dudenhoefferd,
NUCLEAR,tritium,eiferte,
NUCLEAR,tritium,pfallert,
NUCLEAR,tritium,reuterl,
NUCLEAR,tritium,zelenajovaa,
PENTEST,steffand,steffand,
PENTEST,himlerp,himlerp,
PENTEST,hotwagnerw,hotwagnerw,
PENTEST,kernm,kernm,
PENTEST,pfallert,pfallert,
PENTEST,PENTEST-admin,PENTEST-admin,
PENTEST,Playground,himlerp,
PENTEST,Playground,hotwagnerw,
PENTEST,Playground,kernm,
PENTEST,Playground,PENTEST-admin,
PENTEST,Playground,pfallert,
PENTEST,Playground,schusterf,
PENTEST,Playground,stefana,false
PENTEST,Playground,steffand,
PENTEST,schusterf,schusterf,
PENTEST,stefana,stefana,false
PENTEST,Testcat,himlerp,
PENTEST,Testcat,hotwagnerw,
PENTEST,Testcat,kernm,
PENTEST,Testcat,PENTEST-admin,
PENTEST,Testcat,pfallert,
PENTEST,Testcat,schusterf,
PENTEST,Testcat,steffand,
